63 -1||| 62 -1||| 61 -1||| 60 -1||| 59 -1||| 58 -1||| 
44 -1||| 43 -1||| 43 -1||| 41 -1||| 40 -1||| 39 1||| 

46 44 -1||| 46 43 -1||| 46 43 -1||| 46 41 -1||| 22 41 1||| 62 39 1||| 

46 45 -1||| 46 43 -1||| 46 43 -1||| 46 41 -1||| 22 41 1||| 62 39 1||| 

46 45 -1||| 46 43 -1||| 46 43 -1||| 46 41 -1||| 22 41 1||| 62 40 1||| 

46 45 -1||| 46 44 -1||| 46 43 -1||| 46 41 -1||| 22 41 1||| 62 40 1||| 

46 45 -1||| 46 44 -1||| 46 43 -1||| 46 42 -1||| 22 41 1||| 62 40 1||| 

46 45 -1||| 46 44 -1||| 46 44 -1||| 46 42 -1||| 22 41 1||| 62 40 1||| 

46 45 -1||| 46 45 -1||| 46 44 -1||| 46 42 -1||| 22 41 1||| 62 40 1||| 

45 -1||| 45 -1||| 44 -1||| 43 -1||| 41 1||| 40 1||| 

46 45 -1||| 46 45 -1||| 46 44 -1||| 46 43 -1||| 22 42 1||| 62 40 1||| 

46 45 -1||| 46 45 -1||| 46 44 -1||| 46 43 -1||| 22 42 1||| 62 41 1||| 

46 46 -1||| 46 45 -1||| 46 44 -1||| 46 43 -1||| 22 42 1||| 62 41 1||| 

46 46 -1||| 46 45 -1||| 46 45 -1||| 46 43 -1||| 22 42 1||| 62 41 1||| 

46 46 -1||| 46 45 -1||| 46 45 -1||| 46 44 -1||| 22 42 1||| 62 41 1||| 

46 46 -1||| 46 45 -1||| 46 45 -1||| 46 44 -1||| 22 42 1||| 62 42 1||| 

47 1||| 45 -1||| 45 -1||| 44 -1||| 42 1||| 42 1||| 

62 47 1||| 46 45 -1||| 46 45 -1||| 46 44 -1||| 22 43 1||| 62 42 1||| 

62 47 1||| 46 46 -1||| 46 45 -1||| 46 44 -1||| 22 43 1||| 62 42 1||| 

62 47 1||| 62 47 1||| 46 45 -1||| 46 44 -1||| 22 43 1||| 62 42 1||| 

62 47 1||| 62 47 1||| 46 46 -1||| 46 44 -1||| 22 43 1||| 62 42 1||| 

62 47 1||| 62 47 1||| 46 46 -1||| 46 45 -1||| 22 43 1||| 62 42 1||| 

62 48 1||| 62 47 1||| 46 46 -1||| 46 45 -1||| 22 43 1||| 62 42 1||| 

48 1||| 47 1||| 46 -1||| 45 -1||| 43 1||| 43 1||| 

62 48 1||| 62 47 1||| 46 46 -1||| 46 45 -1||| 22 44 1||| 62 43 1||| 

48 1||| 48 1||| 46 -1||| 45 -1||| 44 1||| 43 1||| 

62 48 1||| 62 48 1||| 46 46 -1||| 46 45 -1||| 22 45 1||| 62 43 1||| 

62 48 1||| 62 48 1||| 46 46 -1||| 46 46 -1||| 22 45 1||| 62 43 1||| 

62 48 1||| 62 48 1||| 62 47 1||| 46 46 -1||| 22 45 1||| 62 43 1||| 

62 48 1||| 62 48 1||| 62 47 1||| 46 46 -1||| 22 45 1||| 62 44 1||| 

62 49 1||| 62 48 1||| 62 47 1||| 46 46 -1||| 22 45 1||| 62 44 1||| 

62 49 1||| 62 48 1||| 62 47 1||| 62 47 1||| 22 45 1||| 62 44 1||| 

62 50 1||| 62 48 1||| 62 47 1||| 62 47 1||| 22 45 1||| 62 44 1||| 

62 50 1||| 62 49 1||| 62 47 1||| 62 47 1||| 22 45 1||| 62 44 1||| 

62 50 1||| 62 49 1||| 62 47 1||| 62 47 1||| 22 45 1||| 62 45 1||| 

50 1||| 49 1||| 48 1||| 47 1||| 45 1||| 45 1||| 

62 50 1||| 62 49 1||| 62 48 1||| 62 47 1||| 22 46 1||| 62 45 1||| 

62 50 1||| 62 49 1||| 62 48 1||| 62 47 1||| 22 46 1||| 62 46 1||| 

62 50 1||| 62 49 1||| 62 48 1||| 62 48 1||| 22 46 1||| 62 46 1||| 

62 50 1||| 62 49 1||| 62 49 1||| 62 48 1||| 22 46 1||| 62 46 1||| 

50 1||| 50 1||| 49 1||| 48 1||| 46 1||| 46 1||| 

62 50 1||| 62 50 1||| 62 49 1||| 62 48 1||| 22 47 1||| 62 46 1||| 

62 51 1||| 62 50 1||| 62 49 1||| 62 48 1||| 22 47 1||| 62 46 1||| 

62 51 1||| 62 50 1||| 62 49 1||| 62 48 1||| 22 47 1||| 62 47 1||| 

62 51 1||| 62 51 1||| 62 49 1||| 62 48 1||| 22 47 1||| 62 47 1||| 

51 1||| 51 1||| 50 1||| 48 1||| 47 1||| 47 1||| 

62 51 1||| 62 51 1||| 62 50 1||| 62 48 1||| 22 16 1||| 62 47 1||| 

62 51 1||| 62 51 1||| 62 50 1||| 62 49 1||| 22 16 1||| 62 47 1||| 

62 52 1||| 62 51 1||| 62 50 1||| 62 49 1||| 22 16 1||| 62 47 1||| 

62 52 1||| 62 52 1||| 62 50 1||| 62 49 1||| 22 16 1||| 62 47 1||| 

53 1||| 52 1||| 50 1||| 49 1||| 16 1||| 47 1||| 

62 53 1||| 62 52 1||| 62 50 1||| 62 49 1||| 22 17 1||| 62 47 1||| 

62 53 1||| 62 52 1||| 62 51 1||| 62 49 1||| 22 17 1||| 62 47 1||| 

62 53 1||| 62 52 1||| 62 51 1||| 62 49 1||| 22 17 1||| 62 48 1||| 

62 53 1||| 62 52 1||| 62 51 1||| 62 50 1||| 22 17 1||| 62 48 1||| 

62 53 1||| 62 52 1||| 62 51 1||| 62 50 1||| 22 17 1||| 62 49 1||| 

62 53 1||| 62 52 1||| 62 52 1||| 62 50 1||| 22 17 1||| 62 49 1||| 

62 53 1||| 62 52 1||| 62 52 1||| 62 51 1||| 22 17 1||| 62 49 1||| 

54 1||| 52 1||| 52 1||| 51 1||| 17 1||| 49 1||| 

62 54 1||| 62 52 1||| 62 52 1||| 62 51 1||| 22 18 1||| 62 49 1||| 

62 54 1||| 62 53 1||| 62 52 1||| 62 51 1||| 22 18 1||| 62 49 1||| 

62 54 1||| 62 53 1||| 62 53 1||| 62 51 1||| 22 18 1||| 62 49 1||| 

54 1||| 54 1||| 53 1||| 51 1||| 18 1||| 49 1||| 

62 54 1||| 62 54 1||| 62 53 1||| 62 51 1||| 22 19 1||| 62 49 1||| 

62 54 1||| 62 54 1||| 62 53 1||| 62 52 1||| 22 19 1||| 62 49 1||| 

62 54 1||| 62 54 1||| 62 53 1||| 62 52 1||| 22 19 1||| 62 50 1||| 

62 55 1||| 62 54 1||| 62 53 1||| 62 52 1||| 22 19 1||| 62 50 1||| 

55 1||| 54 1||| 54 1||| 52 1||| 19 1||| 50 1||| 

62 55 1||| 62 54 1||| 62 54 1||| 62 52 1||| 22 20 1||| 62 50 1||| 

62 56 1||| 62 54 1||| 62 54 1||| 62 52 1||| 22 20 1||| 62 50 1||| 

62 56 1||| 62 55 1||| 62 54 1||| 62 52 1||| 22 20 1||| 62 50 1||| 

62 56 1||| 62 55 1||| 62 54 1||| 62 52 1||| 22 20 1||| 62 51 1||| 

62 56 1||| 62 55 1||| 62 54 1||| 62 53 1||| 22 20 1||| 62 51 1||| 

62 57 1||| 62 55 1||| 62 54 1||| 62 53 1||| 22 20 1||| 62 51 1||| 

62 57 1||| 62 55 1||| 62 54 1||| 62 54 1||| 22 20 1||| 62 51 1||| 

57 1||| 55 1||| 55 1||| 54 1||| 20 1||| 51 1||| 

62 57 1||| 62 55 1||| 62 55 1||| 62 54 1||| 22 21 1||| 62 51 1||| 

62 57 1||| 62 56 1||| 62 55 1||| 62 54 1||| 22 21 1||| 62 51 1||| 

57 1||| 56 1||| 55 1||| 54 1||| 21 1||| 52 1||| 

62 57 1||| 62 56 1||| 62 55 1||| 62 54 1||| 22 22 1||| 62 52 1||| 

62 57 1||| 62 56 1||| 62 55 1||| 62 55 1||| 22 22 1||| 62 52 1||| 

62 57 1||| 62 57 1||| 62 55 1||| 62 55 1||| 22 22 1||| 62 52 1||| 

62 57 1||| 62 57 1||| 62 55 1||| 62 55 1||| 22 22 1||| 62 53 1||| 

62 58 1||| 62 57 1||| 62 55 1||| 62 55 1||| 22 22 1||| 62 53 1||| 

62 58 1||| 62 57 1||| 62 56 1||| 62 55 1||| 22 22 1||| 62 53 1||| 

62 59 1||| 62 57 1||| 62 56 1||| 62 55 1||| 22 22 1||| 62 53 1||| 

62 59 1||| 62 58 1||| 62 56 1||| 62 55 1||| 22 22 1||| 62 53 1||| 

62 59 1||| 62 58 1||| 62 57 1||| 62 55 1||| 22 22 1||| 62 53 1||| 

59 1||| 58 1||| 57 1||| 55 1||| 22 1||| 54 1||| 

62 59 1||| 62 58 1||| 62 57 1||| 62 55 1||| 40 23 -1||| 62 54 1||| 

62 59 1||| 62 58 1||| 62 57 1||| 62 56 1||| 40 23 -1||| 62 54 1||| 

62 59 1||| 62 58 1||| 62 57 1||| 62 56 1||| 40 23 -1||| 62 55 1||| 

59 1||| 59 1||| 57 1||| 56 1||| 23 -1||| 55 1||| 

62 59 1||| 62 59 1||| 62 57 1||| 62 56 1||| 40 24 -1||| 62 55 1||| 

62 60 1||| 62 59 1||| 62 57 1||| 62 56 1||| 40 24 -1||| 62 55 1||| 

62 60 1||| 62 59 1||| 62 58 1||| 62 56 1||| 40 24 -1||| 62 55 1||| 

60 1||| 59 1||| 58 1||| 57 1||| 24 -1||| 55 1||| 

62 60 1||| 62 59 1||| 62 58 1||| 62 57 1||| 40 25 -1||| 62 55 1||| 

62 60 1||| 62 59 1||| 62 59 1||| 62 57 1||| 40 25 -1||| 62 55 1||| 

62 60 1||| 62 59 1||| 62 59 1||| 62 57 1||| 40 25 -1||| 62 56 1||| 

62 61 1||| 62 59 1||| 62 59 1||| 62 57 1||| 40 25 -1||| 62 56 1||| 

62 61 1||| 62 59 1||| 62 59 1||| 62 58 1||| 40 25 -1||| 62 56 1||| 

62 61 1||| 62 60 1||| 62 59 1||| 62 58 1||| 40 25 -1||| 62 56 1||| 

61 1||| 61 1||| 59 1||| 58 1||| 25 -1||| 56 1||| 

62 61 1||| 62 61 1||| 62 59 1||| 62 58 1||| 40 26 -1||| 62 56 1||| 

62 61 1||| 62 61 1||| 62 59 1||| 62 59 1||| 40 26 -1||| 62 56 1||| 

62 61 1||| 62 61 1||| 62 59 1||| 62 59 1||| 40 26 -1||| 62 57 1||| 

62 61 1||| 62 61 1||| 62 60 1||| 62 59 1||| 40 26 -1||| 62 57 1||| 

62 62 1||| 62 61 1||| 62 60 1||| 62 59 1||| 40 26 -1||| 62 57 1||| 

62 62 1||| 62 61 1||| 62 60 1||| 62 59 1||| 40 26 -1||| 62 58 1||| 

62 62 1||| 62 61 1||| 62 60 1||| 62 60 1||| 40 26 -1||| 62 58 1||| 

62 62 1||| 62 61 1||| 62 61 1||| 62 60 1||| 40 26 -1||| 62 58 1||| 

63 -1||| 61 1||| 61 1||| 60 1||| 26 -1||| 58 1||| 

62 63 -1||| 62 61 1||| 62 61 1||| 62 60 1||| 40 27 -1||| 62 58 1||| 

34 63 -1||| 62 62 1||| 62 61 1||| 62 60 1||| 40 27 -1||| 62 58 1||| 

34 63 -1||| 62 62 1||| 62 61 1||| 62 61 1||| 40 27 -1||| 62 58 1||| 

34 32 -1||| 62 62 1||| 62 61 1||| 62 61 1||| 40 27 -1||| 62 58 1||| 

34 32 -1||| 62 62 1||| 62 61 1||| 62 61 1||| 40 27 -1||| 62 59 1||| 

34 32 -1||| 62 63 -1||| 62 61 1||| 62 61 1||| 40 27 -1||| 62 59 1||| 

32 -1||| 63 -1||| 62 1||| 61 1||| 27 -1||| 59 1||| 

34 32 -1||| 34 63 -1||| 62 62 1||| 62 61 1||| 40 28 -1||| 62 59 1||| 

