TIME  COMMAND  CELL  BOXTYPE  CHANNEL BOTID
------------------------------------------
   0 startPalletize #1
 120 endMotion    C13        1   60    5
 121 startMotion  C13        1   60    5
 121 endMotion     A8        1    0    1
 121 endMotion    A10        3    2    3
 121 endMotion    A11        4    3    4
 121 endMotion    A13        6  120    6
 121 endMotion     A9        2    1    2
 122 startMotion  A11        4    3    4
 122 startMotion   A9        2    1    2
 122 startMotion  A13        6  120    6
 122 startMotion   A8        1    0    1
 122 startMotion  A10        3    2    3
 125 endMotion    C12        1   60    5
 126 endMotion     A8        2    1    2
 126 endMotion     A9        3    2    3
 126 endMotion    A12        6  120    6
 126 endMotion     A7        1    0    1
 126 endMotion    A10        4    3    4
 126 startMotion  C12        1   60    5
 127 startMotion   A8        2    1    2
 127 startMotion   A7        1    0    1
 127 startMotion  A12        6  120    6
 127 startMotion   A9        3    2    3
 127 startMotion  A10        4    3    4
 130 endMotion    C11        1   60    5
 131 endMotion     A9        4    3    4
 131 startMotion  C11        1   60    5
 131 endMotion    A11        6  120    6
 131 endMotion     A6        1    0    1
 131 endMotion     A7        2    1    2
 131 endMotion     A8        3    2    3
 132 startMotion   A7        2    1    2
 132 startMotion   A9        4    3    4
 132 startMotion   A6        1    0    1
 132 startMotion   A8        3    2    3
 132 startMotion  A11        6  120    6
 135 endMotion    C10        1   60    5
 136 endMotion     A6        2    1    2
 136 endMotion     A8        4    3    4
 136 endMotion    A10        6  120    6
 136 endMotion     A5        1    0    1
 136 startMotion  C10        1   60    5
 136 endMotion     A7        3    2    3
 137 startMotion   A6        2    1    2
 137 startMotion   A7        3    2    3
 137 startMotion   A5        1    0    1
 137 startMotion   A8        4    3    4
 137 startMotion  A10        6  120    6
 141 endMotion     A4        1    0    1
 141 endMotion     A5        2    1    2
 141 endMotion     A9        6  120    6
 141 endMotion     A6        3    2    3
 141 endMotion     A7        4    3    4
 142 startMotion   A6        3    2    3
 142 startMotion   A5        2    1    2
 142 startMotion   A9        6  120    6
 142 startMotion   A4        1    0    1
 142 startMotion   A7        4    3    4
 142 movebox2channel        -1   60    5
 142 endMotion     C9       -1   60    5
 143 startMotion   C9       -1   60    5
 146 endMotion     A4        2    1    2
 146 endMotion     A8        6  120    6
 146 endMotion     A3        1    0    1
 146 endMotion     A5        3    2    3
 146 endMotion     A6        4    3    4
 147 endMotion     C8       -1   60    5
 147 startMotion   A3        1    0    1
 147 startMotion   A5        3    2    3
 147 startMotion   A6        4    3    4
 147 startMotion   A4        2    1    2
 147 startMotion   A8        6  120    6
 148 startMotion   C8       -1   60    5
 151 endMotion     A4        3    2    3
 151 endMotion     A7        6  120    6
 151 endMotion     A2        1    0    1
 151 endMotion     A5        4    3    4
 151 endMotion     A3        2    1    2
 152 startMotion   A4        3    2    3
 152 startMotion   A2        1    0    1
 152 endMotion     C7       -1   60    5
 152 startMotion   A7        6  120    6
 152 startMotion   A3        2    1    2
 152 startMotion   A5        4    3    4
 153 startMotion   C7       -1   60    5
 156 endMotion     A3        3    2    3
 156 endMotion     A4        4    3    4
 156 endMotion     A2        2    1    2
 156 endMotion     A6        6  120    6
 157 startMotion   A6        6  120    6
 157 startMotion   A4        4    3    4
 157 startMotion   A2        2    1    2
 157 endMotion     C6       -1   60    5
 157 startMotion   A3        3    2    3
 158 movebox2tr             -1  del    1
 158 endMotion     A1       -1   -1    1
 158 startMotion   C6       -1   60    5
 159 startMotion   A1       -1  121    1
 160 endMotion     B1       -1  121    1
 161 endMotion     A5        6  120    6
 161 startMotion   B1       -1  121    1
 161 endMotion     A3        4    3    4
 161 endMotion     A2        3    2    3
 162 endMotion     C5       -1   60    5
 162 startMotion   A3        4    3    4
 162 startMotion   A5        6  120    6
 162 startMotion   A2        3    2    3
 163 startMotion   C5       -1   60    5
 163 movebox2tr             -1  del    2
 163 endMotion     A1       -1   -1    2
 164 startMotion   A1       -1  122    2
 165 endMotion     B2       -1  121    1
 165 endMotion     B1       -1  122    2
 166 endMotion     A2        4    3    4
 166 startMotion   B1       -1  122    2
 166 endMotion     A4        6  120    6
 166 startMotion   B2       -1  121    1
 167 startMotion   A2        4    3    4
 167 endMotion     C4       -1   60    5
 167 startMotion   A4        6  120    6
 168 movebox2tr             -1  del    3
 168 endMotion     A1       -1   -1    3
 168 startMotion   C4       -1   60    5
 169 startMotion   A1       -1   63    3
 170 endMotion     B2       -1  122    2
 170 endMotion     B3       -1  121    1
 170 endMotion     B1       -1   63    3
 171 startMotion   B2       -1  122    2
 171 startMotion   B3       -1  121    1
 171 startMotion   B1       -1   63    3
 171 endMotion     A3        6  120    6
 172 endMotion     C3       -1   60    5
 172 startMotion   A3        6  120    6
 173 startMotion   C3       -1   60    5
 173 movebox2tr             -1  del    4
 173 endMotion     A1       -1   -1    4
 174 startMotion   A1       -1   84    4
 175 endMotion     B1       -1   84    4
 175 endMotion     B3       -1  122    2
 175 endMotion     B2       -1   63    3
 176 startMotion   B1       -1   84    4
 176 endMotion     A2        6  120    6
 176 startMotion   B3       -1  122    2
