 RecId   Time             Action              PalletID PalletTypeID
   305  22796  finishDepalletize                   141           34
   306  22797   StartDepalletize                   142           35 CNT4
   307  22953  finishDepalletize                   142           35
   308  22954   StartDepalletize                   143           36 CNT5
   309  23160  finishDepalletize                   143           36
   310  23161   StartDepalletize                   144           37 CNT5
   311  23241  finishDepalletize                   144           37
   312  23242   StartDepalletize                   145           38 CNT6
   313  23447  finishDepalletize                   145           38
   314  23448   StartDepalletize                   146           39 CNT7
   315  23628  finishDepalletize                   146           39
   316  23629   StartDepalletize                   147           40 CNT5
   317  23703    finishPalletize 111114100101114954952
           #1
   318  23703     startPalletize 111114100101114954954
           #1
   319  23739  finishDepalletize                   147           40
   320  23740   StartDepalletize                   148           41 CNT5
   321  23822  finishDepalletize                   148           41
   322  23823   StartDepalletize                   149           42 CNT4
   323  24015    finishPalletize 111114100101114954954
           #1
   324  24015     startPalletize   1111141001011149551
           #1
   325  24017  finishDepalletize                   149           42
   326  24018   StartDepalletize                   150            6 CNT4
   327  24108  finishDepalletize                   150            6
   328  24109   StartDepalletize                   151            1 CNT4
   329  24242  finishDepalletize                   151            1
   330  24243   StartDepalletize                   152            2 CNT4
   331  24378  finishDepalletize                   152            2
   332  24379   StartDepalletize                   153            3 CNT6
   333  24538  finishDepalletize                   153            3
   334  24539   StartDepalletize                   154            4 CNT5
   335  24637  finishDepalletize                   154            4
   336  24638   StartDepalletize                   155            5 CNT4
   337  24768  finishDepalletize                   155            5
   338  24769   StartDepalletize                   156            7 CNT5
   339  24922  finishDepalletize                   156            7
   340  24923   StartDepalletize                   157            9 CNT5
   341  25091  finishDepalletize                   157            9
   342  25092   StartDepalletize                   158           43 CNT5
   343  25233  finishDepalletize                   158           43
   344  25234   StartDepalletize                   159           15 CNT4
   345  25367  finishDepalletize                   159           15
   346  25368   StartDepalletize                   160           13 CNT4
   347  25452  finishDepalletize                   160           13
   348  25453   StartDepalletize                   161           20 CNT4
   349  25552  finishDepalletize                   161           20
   350  25553   StartDepalletize                   162           26 CNT4
   351  25727  finishDepalletize                   162           26
   352  25728   StartDepalletize                   163           29 CNT4
   353  25832  finishDepalletize                   163           29
   354  25833   StartDepalletize                   164           11 CNT4
   355  25992  finishDepalletize                   164           11
   356  25993   StartDepalletize                   165           44 CNT5
   357  26051    finishPalletize  1111141001011149551
           #1
   358  26051     startPalletize   1111141001011149550
           #1
   359  26124  finishDepalletize                   165           44
   360  26125   StartDepalletize                   166           45 CNT6
   361  26292  finishDepalletize                   166           45
   362  26293   StartDepalletize                   167           46 CNT5
   363  26446  finishDepalletize                   167           46
   364  26447   StartDepalletize                   168           17 CNT4
