   1      0   movebox   24   channel    49    channellen   5    |   -   |   -   |   -   |   -   |   -   |   -   | 24   4| 14   4|
   1      0   movebox   11   channel     0    channellen   1    |   -   |   -   |   -   |   -   |   -   | 11   1|  6   1|  1   1|
   1      0   movebox   12   channel     1    channellen   2    |   -   |   -   |   -   |   -   |   -   | 12   2|  7   2|  2   2|
   1      0   movebox   13   channel     2    channellen   3    |   -   |   -   |   -   |   -   |   -   | 13   3|  8   3|  3   3|
   1      0   movebox   29   channel     3    channellen   4    |   -   |   -   |   -   |   -   |   -   | 29   4| 14   4|  4   4|
   1      0   movebox   29   channel     4    channellen   5    |   -   |   -   |   -   |   -   |   -   | 29   4| 14   4|  4   4|
   1      0   movebox   11   channel     5    channellen   1    |   -   |   -   |   -   |   -   |   -   | 11   1|  6   1|  1   1|
   1      0   movebox   12   channel     6    channellen   2    |   -   |   -   |   -   |   -   |   -   | 12   2|  7   2|  2   2|
   1      0   movebox   13   channel     7    channellen   3    |   -   |   -   |   -   |   -   |   -   | 13   3|  8   3|  3   3|
   1      0   movebox   29   channel     8    channellen   4    |   -   |   -   |   -   |   -   |   -   | 29   4| 14   4|  4   4|
   1      0   movebox   29   channel     9    channellen   5    |   -   |   -   |   -   |   -   |   -   | 29   4| 14   4|  4   4|
   1      0   movebox   11   channel    10    channellen   1    |   -   |   -   |   -   |   -   |   -   | 11   1|  6   1|  1   1|
   1      0   movebox   12   channel    11    channellen   2    |   -   |   -   |   -   |   -   |   -   | 12   2|  7   2|  2   2|
   1      0   movebox   13   channel    12    channellen   3    |   -   |   -   |   -   |   -   |   -   | 13   3|  8   3|  3   3|
   1      0   movebox   29   channel    13    channellen   4    |   -   |   -   |   -   |   -   |   -   | 29   4| 19   4|  4   4|
   1      0   movebox   29   channel    14    channellen   5    |   -   |   -   |   -   |   -   |   -   | 29   4| 19   4|  4   4|
   1      0   movebox   11   channel    15    channellen   1    |   -   |   -   |   -   |   -   |   -   | 11   1|  6   1|  1   1|
   1      0   movebox   12   channel    16    channellen   2    |   -   |   -   |   -   |   -   |   -   | 12   2|  7   2|  2   2|
   1      0   movebox   13   channel    17    channellen   3    |   -   |   -   |   -   |   -   |   -   | 13   3|  8   3|  3   3|
   1      0   movebox   29   channel    18    channellen   4    |   -   |   -   |   -   |   -   |   -   | 29   4| 19   4|  4   4|
   1      0   movebox   29   channel    19    channellen   5    |   -   |   -   |   -   |   -   |   -   | 29   4| 19   4|  4   4|
   1      0   movebox   16   channel    20    channellen   1    |   -   |   -   |   -   |   -   |   -   | 16   1|  6   1|  1   1|
   1      0   movebox   17   channel    21    channellen   2    |   -   |   -   |   -   |   -   |   -   | 17   2|  7   2|  2   2|
   1      0   movebox   18   channel    22    channellen   3    |   -   |   -   |   -   |   -   |   -   | 18   3|  8   3|  3   3|
   1      0   movebox   34   channel    23    channellen   4    |   -   |   -   |   -   |   -   |   -   | 34   4| 19   4|  9   4|
   1      0   movebox   34   channel    24    channellen   5    |   -   |   -   |   -   |   -   |   -   | 34   4| 19   4|  9   4|
   1      0   movebox   16   channel    25    channellen   1    |   -   |   -   |   -   |   -   |   -   | 16   1|  6   1|  1   1|
   1      0   movebox   17   channel    26    channellen   2    |   -   |   -   |   -   |   -   |   -   | 17   2|  7   2|  2   2|
   1      0   movebox   18   channel    27    channellen   3    |   -   |   -   |   -   |   -   |   -   | 18   3|  8   3|  3   3|
   1      0   movebox   34   channel    28    channellen   4    |   -   |   -   |   -   |   -   |   -   | 34   4| 19   4|  9   4|
   1      0   movebox   34   channel    29    channellen   5    |   -   |   -   |   -   |   -   |   -   | 34   4| 19   4|  9   4|
   1      0   movebox   16   channel    30    channellen   1    |   -   |   -   |   -   |   -   |   -   | 16   1| 11   1|  1   1|
   1      0   movebox   17   channel    31    channellen   2    |   -   |   -   |   -   |   -   |   -   | 17   2| 12   2|  2   2|
   1      0   movebox   18   channel    32    channellen   3    |   -   |   -   |   -   |   -   |   -   | 18   3| 13   3|  3   3|
   1      0   movebox   34   channel    33    channellen   4    |   -   |   -   |   -   |   -   |   -   | 34   4| 24   4|  9   4|
   1      0   movebox   34   channel    34    channellen   5    |   -   |   -   |   -   |   -   |   -   | 34   4| 24   4|  9   4|
   1      0   movebox   16   channel    35    channellen   1    |   -   |   -   |   -   |   -   |   -   | 16   1| 11   1|  1   1|
   1      0   movebox   17   channel    36    channellen   2    |   -   |   -   |   -   |   -   |   -   | 17   2| 12   2|  2   2|
   1      0   movebox   18   channel    37    channellen   3    |   -   |   -   |   -   |   -   |   -   | 18   3| 13   3|  3   3|
   1      0   movebox   34   channel    38    channellen   4    |   -   |   -   |   -   |   -   |   -   | 34   4| 24   4|  9   4|
   1      0   movebox   34   channel    39    channellen   5    |   -   |   -   |   -   |   -   |   -   | 34   4| 24   4|  9   4|
   1      0   movebox   16   channel    40    channellen   1    |   -   |   -   |   -   |   -   |   -   | 16   1| 11   1|  6   1|
   1      0   movebox   17   channel    41    channellen   2    |   -   |   -   |   -   |   -   |   -   | 17   2| 12   2|  7   2|
   1      0   movebox   18   channel    42    channellen   3    |   -   |   -   |   -   |   -   |   -   | 18   3| 13   3|  8   3|
   1      0   movebox   39   channel    43    channellen   4    |   -   |   -   |   -   |   -   |   -   | 39   4| 24   4| 14   4|
   1      0   movebox   39   channel    44    channellen   5    |   -   |   -   |   -   |   -   |   -   | 39   4| 24   4| 14   4|
   1      0   movebox   16   channel    45    channellen   1    |   -   |   -   |   -   |   -   |   -   | 16   1| 11   1|  6   1|
   1      0   movebox   17   channel    46    channellen   2    |   -   |   -   |   -   |   -   |   -   | 17   2| 12   2|  7   2|
   1      0   movebox   18   channel    47    channellen   3    |   -   |   -   |   -   |   -   |   -   | 18   3| 13   3|  8   3|
   1      0   movebox   39   channel    48    channellen   4    |   -   |   -   |   -   |   -   |   -   | 39   4| 24   4| 14   4|
   1      0   movebox   39   channel    49    channellen   5    |   -   |   -   |   -   |   -   |   -   | 39   4| 24   4| 14   4|
   1      0   movebox   16   channel     0    channellen   1    |   -   |   -   |   -   |   -   | 16   1| 11   1|  6   1|  1   1|
   1      0   movebox   17   channel     1    channellen   2    |   -   |   -   |   -   |   -   | 17   2| 12   2|  7   2|  2   2|
   1      0   movebox   18   channel     2    channellen   3    |   -   |   -   |   -   |   -   | 18   3| 13   3|  8   3|  3   3|
   1      0   movebox   39   channel     3    channellen   4    |   -   |   -   |   -   |   -   | 39   4| 29   4| 14   4|  4   4|
   1      0   movebox   39   channel     4    channellen   5    |   -   |   -   |   -   |   -   | 39   4| 29   4| 14   4|  4   4|
   1      0   movebox   16   channel     5    channellen   1    |   -   |   -   |   -   |   -   | 16   1| 11   1|  6   1|  1   1|
   1      0   movebox   17   channel     6    channellen   2    |   -   |   -   |   -   |   -   | 17   2| 12   2|  7   2|  2   2|
   1      0   movebox   18   channel     7    channellen   3    |   -   |   -   |   -   |   -   | 18   3| 13   3|  8   3|  3   3|
   1      0   movebox   39   channel     8    channellen   4    |   -   |   -   |   -   |   -   | 39   4| 29   4| 14   4|  4   4|
   1      0   movebox   39   channel     9    channellen   5    |   -   |   -   |   -   |   -   | 39   4| 29   4| 14   4|  4   4|
   1      0   movebox   21   channel    10    channellen   1    |   -   |   -   |   -   |   -   | 21   1| 11   1|  6   1|  1   1|
   1      0   movebox   22   channel    11    channellen   2    |   -   |   -   |   -   |   -   | 22   2| 12   2|  7   2|  2   2|
   1      0   movebox   23   channel    12    channellen   3    |   -   |   -   |   -   |   -   | 23   3| 13   3|  8   3|  3   3|
   1      0   movebox   44   channel    13    channellen   4    |   -   |   -   |   -   |   -   | 44   4| 29   4| 19   4|  4   4|
   1      0   movebox   44   channel    14    channellen   5    |   -   |   -   |   -   |   -   | 44   4| 29   4| 19   4|  4   4|
   1      0   movebox   21   channel    15    channellen   1    |   -   |   -   |   -   |   -   | 21   1| 11   1|  6   1|  1   1|
   1      0   movebox   22   channel    16    channellen   2    |   -   |   -   |   -   |   -   | 22   2| 12   2|  7   2|  2   2|
   1      0   movebox   23   channel    17    channellen   3    |   -   |   -   |   -   |   -   | 23   3| 13   3|  8   3|  3   3|
   1      0   movebox   44   channel    18    channellen   4    |   -   |   -   |   -   |   -   | 44   4| 29   4| 19   4|  4   4|
   1      0   movebox   44   channel    19    channellen   5    |   -   |   -   |   -   |   -   | 44   4| 29   4| 19   4|  4   4|
   1      0   movebox   21   channel    20    channellen   1    |   -   |   -   |   -   |   -   | 21   1| 16   1|  6   1|  1   1|
   1      0   movebox   22   channel    21    channellen   2    |   -   |   -   |   -   |   -   | 22   2| 17   2|  7   2|  2   2|
   1      0   movebox   23   channel    22    channellen   3    |   -   |   -   |   -   |   -   | 23   3| 18   3|  8   3|  3   3|
   1      0   movebox   44   channel    23    channellen   4    |   -   |   -   |   -   |   -   | 44   4| 34   4| 19   4|  9   4|
   1      0   movebox   44   channel    24    channellen   5    |   -   |   -   |   -   |   -   | 44   4| 34   4| 19   4|  9   4|
   1      0   movebox   21   channel    25    channellen   1    |   -   |   -   |   -   |   -   | 21   1| 16   1|  6   1|  1   1|
   1      0   movebox   22   channel    26    channellen   2    |   -   |   -   |   -   |   -   | 22   2| 17   2|  7   2|  2   2|
   1      0   movebox   23   channel    27    channellen   3    |   -   |   -   |   -   |   -   | 23   3| 18   3|  8   3|  3   3|
   1      0   movebox   44   channel    28    channellen   4    |   -   |   -   |   -   |   -   | 44   4| 34   4| 19   4|  9   4|
   1      0   movebox   44   channel    29    channellen   5    |   -   |   -   |   -   |   -   | 44   4| 34   4| 19   4|  9   4|
   1      0   movebox   21   channel    30    channellen   1    |   -   |   -   |   -   |   -   | 21   1| 16   1| 11   1|  1   1|
   1      0   movebox   22   channel    31    channellen   2    |   -   |   -   |   -   |   -   | 22   2| 17   2| 12   2|  2   2|
   1      0   movebox   23   channel    32    channellen   3    |   -   |   -   |   -   |   -   | 23   3| 18   3| 13   3|  3   3|
   1      0   movebox   49   channel    33    channellen   4    |   -   |   -   |   -   |   -   | 49   4| 34   4| 24   4|  9   4|
   1      0   movebox   49   channel    34    channellen   5    |   -   |   -   |   -   |   -   | 49   4| 34   4| 24   4|  9   4|
   1      0   movebox   21   channel    35    channellen   1    |   -   |   -   |   -   |   -   | 21   1| 16   1| 11   1|  1   1|
   1      0   movebox   22   channel    36    channellen   2    |   -   |   -   |   -   |   -   | 22   2| 17   2| 12   2|  2   2|
   1      0   movebox   23   channel    37    channellen   3    |   -   |   -   |   -   |   -   | 23   3| 18   3| 13   3|  3   3|
   1      0   movebox   49   channel    38    channellen   4    |   -   |   -   |   -   |   -   | 49   4| 34   4| 24   4|  9   4|
   1      0   movebox   49   channel    39    channellen   5    |   -   |   -   |   -   |   -   | 49   4| 34   4| 24   4|  9   4|
